zone_id,area_ha,mean_suit,mean_hec,sun_frac,priority,cen_lat,cen_lon,rank,taluk,intervention
537,722.0,0.321,0.252,0.006,0.4768,13.2799,75.7757,1,Chikkamagaluru,Corridor Easement Strip
526,446.0,0.325,0.1863,0.007,0.4364,13.2988,75.8234,2,Chikkamagaluru,Corridor Easement Strip
506,99.0,0.317,0.4346,0.02,0.4239,13.3226,75.7727,3,Chikkamagaluru,Early Warning System + Trenching
172,952.0,0.324,0.0904,0.002,0.4185,13.6004,76.0602,4,Koppa,Corridor Easement Strip
539,554.0,0.32,0.066,0.005,0.4119,13.2676,75.8548,5,Chikkamagaluru,Corridor Easement Strip
487,36.0,0.331,0.401,0.028,0.3895,13.3461,75.7722,6,Chikkamagaluru,Early Warning System + Trenching
484,73.0,0.328,0.3772,0.0,0.3893,13.3468,75.7947,7,Chikkamagaluru,Bee Fence + Community Watch
525,32.0,0.339,0.4239,0.0,0.3892,13.3134,75.793,8,Chikkamagaluru,Early Warning System + Trenching
535,823.0,0.319,0.0,0.004,0.3889,13.2778,76.0155,9,Kadur,Corridor Easement Strip
27,883.0,0.322,0.0,0.003,0.3877,13.7621,76.122,10,Kalasa,Corridor Easement Strip
11,593.0,0.324,0.0,0.0,0.3865,13.8078,76.0871,11,Kalasa,Corridor Easement Strip
534,17.0,0.335,0.3707,0.118,0.3854,13.3022,75.7972,12,Chikkamagaluru,Bee Fence + Community Watch
503,6.0,0.347,0.4129,0.0,0.3747,13.3339,75.7942,13,Chikkamagaluru,Early Warning System + Trenching
86,77.0,0.311,0.2941,0.013,0.369,13.7061,75.8144,14,Kalasa,Bee Fence + Community Watch
532,8.0,0.337,0.3291,0.125,0.3683,13.305,75.7569,15,Chikkamagaluru,Bee Fence + Community Watch
517,9.0,0.347,0.3902,0.0,0.3677,13.3233,75.7634,16,Chikkamagaluru,Bee Fence + Community Watch
470,367.0,0.321,0.0499,0.008,0.3666,13.3598,75.8647,17,Chikkamagaluru,Corridor Easement Strip
244,429.0,0.324,0.0,0.005,0.366,13.5626,76.1934,18,Koppa,Corridor Easement Strip
300,432.0,0.326,0.0,0.0,0.3656,13.5219,76.1771,19,Kadur,Corridor Easement Strip
492,49.0,0.33,0.3311,0.0,0.3652,13.3377,75.7497,20,Chikkamagaluru,Bee Fence + Community Watch
508,10.0,0.343,0.3624,0.0,0.3597,13.3298,75.7566,21,Chikkamagaluru,Bee Fence + Community Watch
30,409.0,0.326,0.0,0.0,0.3588,13.7676,76.0929,22,Kalasa,Corridor Easement Strip
538,66.0,0.319,0.2868,0.0,0.3586,13.2926,75.7482,23,Chikkamagaluru,Bee Fence + Community Watch
499,8.0,0.341,0.3561,0.0,0.3578,13.3372,75.8016,24,Chikkamagaluru,Bee Fence + Community Watch
562,284.0,0.317,0.0856,0.007,0.3553,13.2444,75.7985,25,Mudigere,Corridor Easement Strip
533,11.0,0.343,0.3435,0.0,0.3536,13.3037,75.7645,26,Chikkamagaluru,Bee Fence + Community Watch
206,374.0,0.319,0.0,0.005,0.3515,13.5886,76.2469,27,Koppa,Corridor Easement Strip
527,7.0,0.344,0.3359,0.0,0.3492,13.3138,75.805,28,Chikkamagaluru,Bee Fence + Community Watch
252,372.0,0.325,0.0,0.003,0.3483,13.5515,76.2653,29,Koppa,Corridor Easement Strip
2,365.0,0.327,0.0,0.003,0.3454,13.856,76.0756,30,Kalasa,Corridor Easement Strip
276,357.0,0.325,0.0,0.0,0.3435,13.5353,76.3419,31,Kadur,Corridor Easement Strip
103,354.0,0.327,0.0,0.0,0.3419,13.671,76.091,32,Kalasa,Corridor Easement Strip
438,347.0,0.323,0.0,0.0,0.3411,13.409,75.9419,33,Chikkamagaluru,Corridor Easement Strip
491,175.0,0.33,0.1514,0.0,0.34,13.3401,75.8408,34,Chikkamagaluru,Bee Fence + Community Watch
143,347.0,0.328,0.0,0.003,0.3398,13.6306,76.1301,35,Koppa,Corridor Easement Strip
313,320.0,0.318,0.0071,0.006,0.3381,13.5146,76.0984,36,Kadur,Corridor Easement Strip
261,141.0,0.325,0.1567,0.007,0.3344,13.5537,76.0379,37,Koppa,Bee Fence + Community Watch
262,126.0,0.321,0.1671,0.0,0.3338,13.5608,76.0531,38,Koppa,Bee Fence + Community Watch
247,323.0,0.327,0.0,0.006,0.3335,13.5654,76.1426,39,Koppa,Corridor Easement Strip
271,142.0,0.32,0.1274,0.042,0.3317,13.5509,76.0138,40,Koppa,Bee Fence + Community Watch
73,17.0,0.333,0.2663,0.0,0.3316,13.7225,75.7865,41,Kalasa,Bee Fence + Community Watch
130,314.0,0.324,0.0,0.0,0.331,13.645,76.2308,42,Koppa,Corridor Easement Strip
519,6.0,0.345,0.2807,0.0,0.3294,13.3235,75.739,43,Chikkamagaluru,Bee Fence + Community Watch
524,14.0,0.335,0.263,0.0,0.3289,13.318,75.8147,44,Chikkamagaluru,Bee Fence + Community Watch
84,304.0,0.328,0.0,0.013,0.3285,13.6959,76.1603,45,Kalasa,Corridor Easement Strip
455,298.0,0.321,0.0,0.0,0.3271,13.3875,75.9752,46,Kadur,Corridor Easement Strip
354,256.0,0.322,0.0359,0.0,0.3265,13.4977,76.0318,47,Kadur,Corridor Easement Strip
390,292.0,0.321,0.0,0.003,0.3257,13.4785,76.203,48,Kadur,Corridor Easement Strip
428,279.0,0.315,0.0013,0.0,0.324,13.44,76.0205,49,Kadur,Corridor Easement Strip
193,198.0,0.326,0.0801,0.0,0.3234,13.6069,76.0212,50,Koppa,Bee Fence + Community Watch
251,52.0,0.316,0.1646,0.058,0.3213,13.5724,76.0185,51,Koppa,Bee Fence + Community Watch
528,277.0,0.324,0.0,0.0,0.3196,13.2991,75.9693,52,Kadur,Corridor Easement Strip
445,263.0,0.315,0.0004,0.0,0.3188,13.4059,75.8829,53,Chikkamagaluru,Corridor Easement Strip
254,254.0,0.318,0.0028,0.0,0.3159,13.5634,76.0994,54,Koppa,Corridor Easement Strip
296,251.0,0.323,0.0,0.016,0.3147,13.532,76.2244,55,Kadur,Corridor Easement Strip
497,33.0,0.344,0.2144,0.0,0.3145,13.335,75.8208,56,Chikkamagaluru,Bee Fence + Community Watch
3,258.0,0.324,0.0,0.004,0.3145,13.8598,76.039,57,Kalasa,Corridor Easement Strip
250,257.0,0.323,0.0,0.0,0.3139,13.5626,76.3173,58,Koppa,Corridor Easement Strip
100,8.0,0.348,0.229,0.0,0.3108,13.6925,75.8256,59,Kalasa,Bee Fence + Community Watch
346,236.0,0.329,0.0149,0.0,0.3108,13.4907,76.0498,60,Kadur,Corridor Easement Strip
550,86.0,0.333,0.1344,0.023,0.3099,13.2605,75.8072,61,Chikkamagaluru,Bee Fence + Community Watch
46,7.0,0.347,0.219,0.0,0.3073,13.7562,75.8133,62,Kalasa,Bee Fence + Community Watch
76,230.0,0.322,0.0,0.004,0.3071,13.7114,76.1319,63,Kalasa,Corridor Easement Strip
44,24.0,0.338,0.1927,0.0,0.3062,13.7563,75.7887,64,Kalasa,Bee Fence + Community Watch
417,213.0,0.324,0.0078,0.005,0.3039,13.459,76.0167,65,Kadur,Corridor Easement Strip
212,101.0,0.317,0.0846,0.02,0.3021,13.5984,75.9712,66,Koppa,Bee Fence + Community Watch
427,211.0,0.328,0.0,0.009,0.2999,13.4374,76.1227,67,Kadur,Corridor Easement Strip
307,109.0,0.316,0.0724,0.009,0.2989,13.5293,76.0687,68,Kadur,Bee Fence + Community Watch
59,207.0,0.324,0.0,0.0,0.2986,13.7362,76.1332,69,Kalasa,Corridor Easement Strip
397,160.0,0.323,0.0387,0.0,0.2984,13.4791,76.0153,70,Kadur,Bee Fence + Community Watch
8,203.0,0.322,0.0,0.0,0.2983,13.8237,75.9532,71,Kalasa,Corridor Easement Strip
229,23.0,0.336,0.1681,0.0,0.2982,13.5863,76.0004,72,Koppa,Bee Fence + Community Watch
